,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
41,301308.SZ,2025-07-25,85.64990431046992,87.79990190845602,85.28990471266759,87.19990257878548,85.79,1.41,1.6435,78907.07,682916.294,87.2,85.65,87.8,85.29,forward_adjusted
42,301308.SZ,2025-07-28,86.99989065564534,87.09989052996217,85.2798928173958,85.9498919753186,87.2,-1.25,-1.4335,49777.02,427849.313,85.95,87.0,87.1,85.28,forward_adjusted
43,301308.SZ,2025-07-29,85.76988164873282,92.49987236222206,85.31988226967336,91.02987439062782,85.95,5.08,5.9104,125310.27,1122208.627,91.03,85.77,92.5,85.32,forward_adjusted
44,301308.SZ,2025-07-30,89.99987873944309,93.34987422585569,89.49987941311285,90.68987780977882,91.03,-0.34,-0.3735,100038.44,915587.558,90.69,90.0,93.35,89.5,forward_adjusted
45,301308.SZ,2025-07-31,90.09992156563915,93.65991846656785,89.00992251451211,89.27992227947018,90.69,-1.41,-1.5547,85423.23,781571.528,89.28,90.1,93.66,89.01,forward_adjusted
46,301308.SZ,2025-08-01,88.50992456161055,89.79992346212435,87.37992552472635,87.85992511561521,89.28,-1.42,-1.5905,65526.15,577987.529,87.86,88.51,89.8,87.38,forward_adjusted
47,301308.SZ,2025-08-04,86.99992868620268,90.1499261041514,86.79992885014244,88.2999276205942,87.86,0.44,0.5008,55180.41,488151.938,88.3,87.0,90.15,86.8,forward_adjusted
48,301308.SZ,2025-08-05,88.49996961841762,89.65996922019575,87.79996985872393,88.99996944677027,88.3,0.7,0.7928,46357.04,412098.652,89.0,88.5,89.66,87.8,forward_adjusted
49,301308.SZ,2025-08-06,88.99994550864109,89.4799452147551,87.7699462617239,89.22994536782072,89.0,0.23,0.2584,44424.47,394560.167,89.23,89.0,89.48,87.77,forward_adjusted
50,301308.SZ,2025-08-07,88.69994882903691,90.58994773869733,87.79994934824623,88.50994893864777,89.23,-0.72,-0.8069,63609.53,565037.914,88.51,88.7,90.59,87.8,forward_adjusted
51,301308.SZ,2025-08-08,87.93994440732718,89.29994354758149,87.8499444642221,88.47994406595757,88.51,-0.03,-0.0339,36639.36,324370.8,88.48,87.94,89.3,87.85,forward_adjusted
52,301308.SZ,2025-08-11,89.24992756809867,91.7899255067314,89.13992765737048,90.07992689450228,88.48,1.6,1.8083,69985.84,635045.399,90.08,89.25,91.79,89.14,forward_adjusted
53,301308.SZ,2025-08-12,90.08990188942309,92.85989887281416,87.28990493870286,91.10990077861402,90.08,1.03,1.1434,89630.64,810395.493,91.11,90.09,92.86,87.29,forward_adjusted
54,301308.SZ,2025-08-13,91.11987336760608,91.35987303407036,88.6998767307579,89.48987563286948,91.11,-1.62,-1.7781,87194.51,781431.687,89.49,91.12,91.36,88.7,forward_adjusted
55,301308.SZ,2025-08-14,89.48984783211485,95.11983825892017,89.44984790013045,90.2598465228147,89.49,0.77,0.8604,131025.69,1214638.614,90.26,89.49,95.12,89.45,forward_adjusted
56,301308.SZ,2025-08-15,89.49988462316888,92.55988067844147,88.86988543531865,91.61988189022048,90.26,1.36,1.5068,73861.8,672737.416,91.62,89.5,92.56,88.87,forward_adjusted
57,301308.SZ,2025-08-18,90.78986093248626,92.6998580068452,89.59986275526785,91.4998598449443,91.62,-0.12,-0.131,117749.36,1072658.078,91.5,90.79,92.7,89.6,forward_adjusted
58,301308.SZ,2025-08-19,91.50985376736382,92.57985205750784,90.0898560365185,90.56985526948029,91.5,-0.93,-1.0164,83367.71,759204.439,90.57,91.51,92.58,90.09,forward_adjusted
59,301308.SZ,2025-08-20,90.57985385741071,92.77985030791086,88.87985660020604,92.77985030791086,90.57,2.21,2.4401,101512.56,921666.61,92.78,90.58,92.78,88.88,forward_adjusted
60,301308.SZ,2025-08-21,91.62985375929252,96.64984574741484,91.26985433384948,93.00985155682416,92.78,0.23,0.2479,130332.72,1220142.305,93.01,91.63,96.65,91.27,forward_adjusted
61,301308.SZ,2025-08-22,92.05985305395615,96.59984580721445,92.04985306991813,96.59984580721445,93.01,3.59,3.8598,131228.06,1249026.084,96.6,92.06,96.6,92.05,forward_adjusted
62,301308.SZ,2025-08-25,99.99986477790857,105.49985734069355,95.67987061950294,96.72986919967097,96.6,0.13,0.1346,182448.05,1808270.116,96.73,100.0,105.5,95.68,forward_adjusted
63,301308.SZ,2025-08-26,97.69983460216362,101.69982783050195,96.99983578720442,98.70983289231904,96.73,1.98,2.0469,126144.42,1255373.813,98.71,97.7,101.7,97.0,forward_adjusted
64,301308.SZ,2025-08-27,98.99985548344922,101.9998511041598,97.29985796504656,97.78985724976263,98.71,-0.92,-0.932,140399.8,1397728.642,97.79,99.0,102.0,97.3,forward_adjusted
65,301308.SZ,2025-08-28,96.87984942445402,99.17984584968364,94.69985281271467,98.63984668897756,97.79,0.85,0.8692,132673.24,1290792.692,98.64,96.88,99.18,94.7,forward_adjusted
66,301308.SZ,2025-08-29,97.99989252586417,97.99989252586417,93.99989691256359,95.4598953114183,98.64,-3.18,-3.2238,102729.75,981846.05,95.46,98.0,98.0,94.0,forward_adjusted
67,301308.SZ,2025-09-01,98.50991356908874,101.95991054212045,96.85991501676921,100.13991213895589,95.46,4.68,4.9026,146241.62,1456492.668,100.14,98.51,101.96,96.86,forward_adjusted
